descripcion,decision,equipo,estadio,arbitro
Minuto 52: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Manchester City.,Roja,Boca Juniors,Old Trafford,Wilton Sampaio
Minuto 75: Erling Haaland protagoniza una jugada polémica en Anfield entre Manchester United.,Amarilla,Manchester City,Bombonera,Michael Oliver
Minuto 30: Alan Velasco protagoniza una jugada polémica en Bombonera entre Liverpool.,Roja,River Plate,Anfield,Facundo Tello
Minuto 22: Erling Haaland protagoniza una jugada polémica en Anfield entre River Plate.,Gol válido,Manchester United,Old Trafford,Facundo Tello
Minuto 60: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Independiente.,Penal,Liverpool,Anfield,Fernando Rapallini
Minuto 3: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol válido,Boca Juniors,Anfield,Fernando Rapallini
Minuto 60: Alan Velasco protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Gol válido,Boca Juniors,Etihad,Facundo Tello
Minuto 84: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Liverpool.,Roja,Manchester United,Libertadores de América,Fernando Rapallini
Minuto 36: Edinson Cavani protagoniza una jugada polémica en Anfield entre Boca Juniors.,Amarilla,Independiente,Libertadores de América,Facundo Tello
Minuto 4: Alan Velasco protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol anulado,Liverpool,Bombonera,Facundo Tello
Minuto 62: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Independiente.,Offside,Liverpool,Monumental,Darío Herrera
Minuto 40: Erling Haaland protagoniza una jugada polémica en Etihad entre Boca Juniors.,Offside,Manchester City,Bombonera,Fernando Rapallini
Minuto 60: Bruno Fernandes protagoniza una jugada polémica en Etihad entre River Plate.,Roja,Manchester City,Monumental,Fernando Rapallini
Minuto 71: Julián Álvarez protagoniza una jugada polémica en Monumental entre Liverpool.,Offside,Manchester United,Old Trafford,Fernando Rapallini
Minuto 8: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre River Plate.,Penal,Manchester City,Bombonera,Facundo Tello
Minuto 41: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Liverpool.,Gol anulado,River Plate,Libertadores de América,Anthony Taylor
Minuto 44: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester United.,Gol válido,Manchester United,Etihad,Darío Herrera
Minuto 3: Julián Álvarez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Offside,Independiente,Old Trafford,Fernando Rapallini
Minuto 79: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Liverpool.,Roja,Manchester United,Monumental,Michael Oliver
Minuto 4: Alan Velasco protagoniza una jugada polémica en Etihad entre Manchester City.,Offside,Manchester United,Etihad,Michael Oliver
Minuto 13: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Independiente.,No penal,Boca Juniors,Bombonera,Anthony Taylor
Minuto 62: Julián Álvarez protagoniza una jugada polémica en Etihad entre Independiente.,No penal,Liverpool,Anfield,Michael Oliver
